timestamp,cpu_usage_rate,active_connections,replicas
2024-04-01 00:00:00,13.530281381717717,37,15
2024-04-01 00:02:00,0.1,42,1
2024-04-01 00:04:00,19.074752219926342,43,15
2024-04-01 00:06:00,7.312435595257112,43,10
2024-04-01 00:08:00,11.122900141772735,27,14
2024-04-01 00:10:00,9.900366698754295,40,13
2024-04-01 00:12:00,12.468404654010406,39,15
2024-04-01 00:14:00,5.68331046399851,39,8
2024-04-01 00:16:00,14.34243602616096,40,15
2024-04-01 00:18:00,6.115160457161819,42,8
2024-04-01 00:20:00,11.949921358155159,39,15
2024-04-01 00:22:00,3.553375228487903,36,5
2024-04-01 00:24:00,14.830953714825858,43,15
2024-04-01 00:26:00,9.19091295992849,43,12
2024-04-01 00:28:00,11.832867141493784,55,15
2024-04-01 00:30:00,15.577303816062923,31,15
2024-04-01 00:32:00,13.113539769517361,41,15
2024-04-01 00:34:00,10.12495579872038,62,14
2024-04-01 00:36:00,8.491176923541493,38,11
2024-04-01 00:38:00,7.483694424263336,53,10
2024-04-01 00:40:00,15.98486728230489,35,15
2024-04-01 00:42:00,12.583529464533438,35,15
2024-04-01 00:44:00,4.330109431252941,52,6
2024-04-01 00:46:00,12.055864793666169,31,15
2024-04-01 00:48:00,14.446714654651664,42,15
2024-04-01 00:50:00,4.883560264621721,45,7
2024-04-01 00:52:00,6.814566597471041,45,9
2024-04-01 00:54:00,12.514440072073299,32,15
2024-04-01 00:56:00,9.716070504389206,18,13
2024-04-01 00:58:00,13.521378061511088,22,15
2024-04-01 01:00:00,13.096152559029523,58,15
2024-04-01 01:02:00,12.578599427545132,45,15
2024-04-01 01:04:00,21.030455827209103,54,15
2024-04-01 01:06:00,14.552986585163428,32,15
2024-04-01 01:08:00,0.1,43,1
2024-04-01 01:10:00,16.104897029609145,63,15
2024-04-01 01:12:00,6.355143953476042,50,9
2024-04-01 01:14:00,12.402671044127207,51,15
2024-04-01 01:16:00,5.163527794472682,34,7
2024-04-01 01:18:00,5.2292735800459225,43,7
2024-04-01 01:20:00,9.117920879874834,58,13
2024-04-01 01:22:00,7.576263577108421,46,10
2024-04-01 01:24:00,7.237656802977545,37,10
2024-04-01 01:26:00,11.516823893494337,47,15
2024-04-01 01:28:00,19.98235593341598,51,15
2024-04-01 01:30:00,4.58703192815995,48,7
2024-04-01 01:32:00,3.896723360318763,50,6
2024-04-01 01:34:00,14.114988966262791,56,15
2024-04-01 01:36:00,7.176903535538812,26,9
2024-04-01 01:38:00,11.625441476520853,42,15
2024-04-01 01:40:00,14.345033497687481,39,15
2024-04-01 01:42:00,8.513498343166106,43,12
2024-04-01 01:44:00,5.677665338847712,46,8
2024-04-01 01:46:00,5.0752684271065185,51,7
2024-04-01 01:48:00,2.3422017554449077,43,4
2024-04-01 01:50:00,12.40256639980683,58,15
2024-04-01 01:52:00,14.138061235190666,38,15
2024-04-01 01:54:00,13.916744913921356,40,15
2024-04-01 01:56:00,5.291470877012153,39,7
2024-04-01 01:58:00,14.969502003220455,57,15
2024-04-01 02:00:00,16.273314587984846,51,15
